"id_serial";"novelty_date";"available_date"
"5107";"2016-08-17";"2017-04-08"
"5110";"2016-08-17";"2017-04-08"
"5111";"2016-08-19";"2017-04-08"
"5113";"2016-08-19";"2017-04-08"
"5238";"2018-03-20";"2018-09-21"
"5424";"2017-01-11";"2017-12-20"
"5546";"2018-06-05";"2018-12-29"
"5109";"2016-08-17";"2017-04-06"
"5513";"2017-07-25";"2018-03-02"
"5237";"2016-12-30";"2017-04-07"
"5545";"2018-01-25";"2018-02-13"
"5412";"2017-01-04";"2017-04-06"
"5112";"2016-08-19";"2017-04-04"
"5255";"2016-10-11";"2017-04-02"
"5459";"2017-01-25";"2017-04-02"
"5108";"2016-08-17";"2017-04-02"
"5536";"2017-03-09";"2017-04-02"
"5331";"2017-09-06";"2017-12-22"
"5437";"2017-01-16";"2017-03-31"
"5472";"2017-01-31";"2017-12-20"
"5332";"2017-10-12";"2018-12-22"
"5438";"2017-01-16";"2017-03-31"
"5473";"2018-06-12";"2018-12-21"
"5439";"2017-01-16";"2017-03-31"
"5474";"2017-01-31";"2017-12-20"
"5440";"2017-01-16";"2017-03-31"
"5442";"2017-01-16";"2017-03-31"
"5443";"2017-01-16";"2017-03-31"
"5300";"2016-11-04";"2017-03-31"
"5496";"2017-02-07";"2017-03-31"
"5301";"2016-11-04";"2017-03-31"
"5321";"2017-02-02";"2017-12-21"
"5343";"2017-03-08";"2017-06-30"
"5330";"2018-03-20";"2018-12-22"
"5471";"2018-06-12";"2018-12-21"
"5467";"2017-01-30";"2017-03-29"
"5071";"2017-06-12";"2018-04-25"
"5506";"2017-02-10";"2017-03-27"
"5371";"2017-11-09";"2019-03-24"
"5374";"2017-08-30";"2017-11-11"
"5077";"2018-01-11";"2018-04-21"
"5388";"2016-12-07";"2017-03-20"
"5392";"2016-12-23";"2017-03-20"
"5169";"2016-09-27";"2017-03-21"
"5511";"2017-08-31";"2018-03-07"
"5497";"2017-09-22";"2018-04-26"
"5468";"2017-12-29";"2018-03-13"
"5503";"2017-02-09";"2017-03-12"
"5252";"2016-11-16";"2017-03-12"
"5502";"2017-02-09";"2017-03-12"
"5507";"2017-02-10";"2017-03-24"
"5162";"2018-05-30";"2019-02-26"
"5317";"2016-11-11";"2017-03-04"
"5092";"2016-08-06";"2017-03-04"
"5318";"2016-11-11";"2017-03-03"
"5403";"2017-06-06";"2017-06-30"
"5425";"2017-01-11";"2017-02-28"
"5462";"2018-01-11";"2018-02-18"
"5394";"2016-12-09";"2017-02-28"
"5469";"2017-01-30";"2017-02-28"
"5401";"2016-12-13";"2017-02-28"
"5389";"2018-01-30";"2018-12-20"
"5404";"2016-12-19";"2017-02-25"
"5498";"2017-02-08";"2017-04-07"
"5491";"2017-02-06";"2017-04-04"
"5039";"2016-12-13";"2017-03-02"
"5047";"2018-02-02";"2018-11-20"
"4950";"2016-04-16";"2017-02-19"
"5015";"2016-05-26";"2017-02-19"
"5070";"2017-01-27";"2017-02-19"
"4998";"2017-02-09";"2017-02-19"
"5072";"2017-01-05";"2017-04-10"
"5432";"2018-05-14";"2018-06-18"
"5433";"2018-05-31";"2018-08-12"
"5264";"2017-01-14";"2017-06-08"
"5452";"2018-01-26";"2018-10-26"
"5454";"2017-01-23";"2017-04-25"
"5009";"2017-08-25";"2017-12-10"
"5010";"2016-09-30";"2017-02-19"
"5069";"2016-10-26";"2017-02-12"
"4999";"2017-01-10";"2017-02-19"
"5068";"2016-07-09";"2017-02-11"
"5001";"2016-07-09";"2017-02-19"
"5390";"2017-01-27";"2017-02-08"
"5215";"2017-07-14";"2017-10-11"
"5409";"2017-01-27";"2017-02-07"
"3442";"2016-09-08";"2017-04-13"
"5175";"2016-09-09";"2017-04-30"
"5176";"2017-04-07";"2017-04-30"
"5177";"2016-09-09";"2017-04-30"
"5178";"2016-09-09";"2017-04-30"
"5179";"2016-09-09";"2017-04-30"
"5182";"2016-12-30";"2017-04-30"
"1915";"2016-10-22";"2017-01-31"
"4886";"2017-01-28";"2017-01-30"
"5120";"2017-01-04";"2017-01-29"
"5325";"2017-09-21";"2018-05-01"
"5327";"2017-09-21";"2018-05-01"
"5185";"2017-01-12";"2017-01-29"
"3281";"2017-07-26";"2018-03-24"
"5335";"2016-11-15";"2017-01-27"
"5256";"2017-01-11";"2017-04-11"
"5254";"2017-07-14";"2017-11-01"
"5262";"2018-06-27";"2019-01-20"
"5411";"2017-07-14";"2017-11-02"
"5261";"2017-11-27";"2018-01-07"
"5251";"2016-10-08";"2017-01-08"
"5253";"2016-10-11";"2017-04-02"
"5123";"2017-07-13";"2017-11-02"
"5087";"2017-08-04";"2018-03-09"
"5338";"2016-12-14";"2017-01-03"
"5136";"2016-08-25";"2017-01-02"
"5205";"2016-09-20";"2017-01-04"
"5221";"2017-09-27";"2018-01-02"
"5386";"2016-12-06";"2017-01-02"
"5189";"2016-09-14";"2017-01-02"
"5125";"2017-09-04";"2018-01-02"
"5190";"2016-09-14";"2017-01-02"
"5163";"2016-09-01";"2017-01-02"
"3236";"2017-08-31";"2018-01-02"
"5135";"2017-09-27";"2018-01-02"
