"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"1787";"3";"3";"1";"7";"0.00";"Česká republika";"Jeseníky";"3872.0000";"1290.6667";"4.0000"
"1571";"3";"3";"1";"7";"0.00";"Česká republika";"Jeseníky";"9903.9286";"1414.7143";"8.0000"
"1788";"3";"2";"1";"7";"0.00";"Česká republika";"Konstantinovy Lázně";"983.4615";"983.4615";"2.0000"
"1499";"3";"3";"1";"7";"0.00";"Česká republika:Česká republika, víkendové pobyty";"Konstantinovy Lázně";"1990.0000";"995.0000";"3.0000"
"594";"3";"2";"1";"7";"0.00";"Česká republika";"Chodová Planá";"802.8667";"802.8667";"2.0000"
"257";"1";"3";"1";"7";"3.00";"Česká republika";"Jižní Morava";"2377.8077";"1499.1923";"3.6538"
"287";"3";"3";"1";"7";"0.00";"Slovensko";"Turčianské Teplice";"13297.3684";"1899.1579";"8.0000"
"2683";"3";"4";"1";"7";"0.00";"Slovensko";"Turčianské Teplice";"7568.8235";"2522.7647";"4.0000"
"274";"3";"4";"1";"7";"0.00";"Slovensko";"Sliač";"8863.3333";"1266.0000";"8.0000"
"1628";"3";"3";"1";"7";"0.00";"Slovensko";"Sliač";"8260.0000";"1179.6667";"8.0000"
"2605";"3";"3";"1";"7";"0.00";"Slovensko";"Sliač";"5479.0333";"1246.8000";"5.8333"
"3434";"3";"3";"1";"7";"0.00";"Slovensko";"Sliač";"5809.3077";"1161.7692";"6.0000"
"2702";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"15945.0000";"1771.5000";"10.0000"
"2703";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"15945.0000";"1771.5000";"10.0000"
"3475";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"12385.0000";"1769.0000";"8.0000"
"3476";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"15275.0000";"2182.0000";"8.0000"
"2731";"7";"2";"1";"7";"0.00";"Česká republika";"Krkonoše";"4058.0000";"938.0000";"4.4000"
"3756";"4";"1";"1";"7";"0.00";"Fotbal";"Bundesliga";"8135.6667";"8135.6667";"1.0000"
"3842";"4";"1";"1";"7";"0.00";"Fotbal";"Bundesliga";"10497.6923";"5248.8462";"3.0000"
"294";"3";"2";"1";"6";"2.00";"Slovensko";"Dudince";"6360.0000";"760.0000";"10.0000"
"3307";"3";"3";"1";"6";"2.00";"Slovensko";"Dudince";"4683.0000";"1170.0000";"5.0000"
